,Low-False,Low-True,Normal-False,Normal-True,SlightlyIncreased-False,SlightlyIncreased-True,Moderate-False,Moderate-True,High-False,High-True,VeryHigh-False,VeryHigh-True
Rain,It's raining cats and dogs but fortunately you and your genes are safe.,Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during gloomy weather.,It's raining cats and dogs but fortunately you and your genes are safe.,Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during gloomy weather.,It's raining cats and dogs but fortunately you and your genes are safe.,Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during gloomy weather.,"Even though the sun may not seem strong today, make sure to apply a broad-spectrum sunscreen with a minimum SPF 30 before going outside.","Consider taking a vitamin D supplement. And even though it's raining, apply a broad-spectrum sunscreen (minimum SPF 30) before going outside.","Even though the sun may not seem strong today, make sure to apply a broad-spectrum sunscreen with a minimum SPF 30 before going outside.","Consider taking a vitamin D supplement. And even though it's raining, apply a broad-spectrum sunscreen (minimum SPF 30) before going outside.","Even though the sun may not seem strong today, make sure to apply a broad-spectrum sunscreen with a minimum SPF 30 before going outside.","Consider taking a vitamin D supplement. And even though it's raining, apply a broad-spectrum sunscreen (minimum SPF 30) before going outside."
Snow,"It's cold and snowy, which means your health is at risk from accidents such as driving accidents and slips and falls. Take care if you go outside.",Protect your health and optimize your genes during this snowy weather - consider taking a vitamin D supplement.,"It's cold and snowy, which means your health is at risk from accidents such as driving accidents and slips and falls. Take care if you go outside.",Protect your health and optimize your genes during this snowy weather - consider taking a vitamin D supplement.,"It's cold and snowy, which means your health is at risk from accidents such as driving accidents and slips and falls. Take care if you go outside.",Protect your health and optimize your genes during this snowy weather - consider taking a vitamin D supplement.,"Even when snowing, if you go outside the sun can still cause you significant harm. Make sure to apply broad-spectrum sunscreen today.","Even though it is snowy, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even when snowing, if you go outside the sun can still cause you significant harm. Make sure to apply broad-spectrum sunscreen today.","Even though it is snowy, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even when snowing, if you go outside the sun can still cause you significant harm. Make sure to apply broad-spectrum sunscreen today.","Even though it is snowy, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement."
SnowGrains,"A significant health risk during cold, snowy days is accidents. If you have to go outside, drive carefully, watch your step when walking and stay warm.",Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during this snowy weather.,"A significant health risk during cold, snowy days is accidents. If you have to go outside, drive carefully, watch your step when walking and stay warm.",Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during this snowy weather.,"A significant health risk during cold, snowy days is accidents. If you have to go outside, drive carefully, watch your step when walking and stay warm.",Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during this snowy weather.,"Even though it is snowy, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is snowy, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is snowy, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is snowy, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is snowy, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is snowy, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement."
IceCrystals,"Watch out for ice and freezing rain. If you have to go outside, drive carefully and stay warm.",Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during this icy weather.,"Watch out for ice and freezing rain. If you have to go outside, drive carefully and stay warm.",Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during this icy weather.,"Even though it is cold, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is cold, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is cold, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is cold, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is cold, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is cold, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is cold, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is cold, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement."
IcePellets,"Watch out for ice and freezing rain. If you have to go outside, drive carefully and stay warm.",Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during this icy weather.,"Watch out for ice and freezing rain. If you have to go outside, drive carefully and stay warm.",Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during this icy weather.,"Even though it is cold, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is cold, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is cold, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is cold, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is cold, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is cold, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is cold, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is cold, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement."
Hail,"Watch out for ice, freezing rain and slippery conditions. If you have to go outside, drive carefully and stay warm.",Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during this icy weather.,"Watch out for ice, freezing rain and slippery conditions. If you have to go outside, drive carefully and stay warm.",Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during this icy weather.,"Even though it is cold, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is cold, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is cold, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is cold, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is cold, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is cold, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is cold, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is cold, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement."
Mist,The mist may decrease visibility and create slippery conditions - be careful if going outside.,"Due to this misty weather, to proect your health consider taking a vitamin D supplement.",The mist may decrease visibility and create slippery conditions - be careful if going outside.,"Due to this misty weather, to proect your health consider taking a vitamin D supplement.","The mist won't protect you from the harmful sun. Apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Regardless of the mist, make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face and consider taking a vitamin D supplement.","The mist won't protect you from the harmful sun. Apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Regardless of the mist, make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face and consider taking a vitamin D supplement.","The mist won't protect you from the harmful sun. Apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Regardless of the mist, make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face and consider taking a vitamin D supplement.","The mist won't protect you from the harmful sun. Apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Regardless of the mist, make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face and consider taking a vitamin D supplement."
Fog,The fog may decrease visibility - be careful if going outside.,"Due to this foggy weather, to protect your health consider taking a vitamin D supplement.",The fog may decrease visibility - be careful if going outside.,"Due to this foggy weather, to protect your health consider taking a vitamin D supplement.","Regardless of the fog, you still need to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Regardless of the fog, make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face and consider taking a vitamin D supplement.","Regardless of the fog, you still need to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Regardless of the fog, make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face and consider taking a vitamin D supplement.","Regardless of the fog, you still need to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Regardless of the fog, make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face and consider taking a vitamin D supplement.","Regardless of the fog, you still need to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Regardless of the fog, make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face and consider taking a vitamin D supplement."
FogPatches,The fog may decrease visibility - be careful if going outside.,"Due to this foggy weather, to protect your health consider taking a vitamin D supplement.",The fog may decrease visibility - be careful if going outside.,"Due to this foggy weather, to protect your health consider taking a vitamin D supplement.","Regardless of the fog, you still need to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Regardless of the fog, make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face and consider taking a vitamin D supplement.","Regardless of the fog, you still need to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Regardless of the fog, make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face and consider taking a vitamin D supplement.","Regardless of the fog, you still need to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Regardless of the fog, make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face and consider taking a vitamin D supplement.","Regardless of the fog, you still need to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Regardless of the fog, make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face and consider taking a vitamin D supplement."
Smoke,The air quality may decrease visibility and cause breathing problems. Try to stay indoors today.,"Due to this smokey weather, to protect your health consider taking a vitamin D supplement.",The air quality may decrease visibility and cause breathing problems. Try to stay indoors today.,"Due to this smokey weather, to protect your health consider taking a vitamin D supplement.","Even though it's smokey, before going outside apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it's smokey, consider taking a vitamin D supplement and also apply broad-spectrum sunscreen (minimum SPF 30) to your face.","Even though it's smokey, before going outside apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it's smokey, consider taking a vitamin D supplement and also apply broad-spectrum sunscreen (minimum SPF 30) to your face.","Even though it's smokey, before going outside apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it's smokey, consider taking a vitamin D supplement and also apply broad-spectrum sunscreen (minimum SPF 30) to your face.","Even though it's smokey, before going outside apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it's smokey, consider taking a vitamin D supplement and also apply broad-spectrum sunscreen (minimum SPF 30) to your face."
VolcanicAsh,The air quality may decrease visibility and cause breathing problems. Try to stay indoors today.,"Even with the volcanic ash, to protect your health consider taking a vitamin D supplement.",The air quality may decrease visibility and cause breathing problems. Try to stay indoors today.,"Even with the volcanic ash, to protect your health consider taking a vitamin D supplement.","Before going outside apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.",Consider taking a vitamin D supplement. Before going outside apply broad-spectrum sunscreen (minimum SPF 30) to your face.,"Before going outside apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.",Consider taking a vitamin D supplement. Before going outside apply broad-spectrum sunscreen (minimum SPF 30) to your face.,"Before going outside apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.",Consider taking a vitamin D supplement. Before going outside apply broad-spectrum sunscreen (minimum SPF 30) to your face.,"Before going outside apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.",Consider taking a vitamin D supplement. Before going outside apply broad-spectrum sunscreen (minimum SPF 30) to your face.
WidespreadDust,The air quality may decrease visibility and cause breathing problems. Try to stay indoors today.,The air quality is poor. To protect your health consider taking a vitamin D supplement.,The air quality may decrease visibility and cause breathing problems. Try to stay indoors today.,The air quality is poor. To protect your health consider taking a vitamin D supplement.,"Regardless of the poor air quality, apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.",Before going outside apply broad-spectrum sunscreen (minimum SPF 30) to your face. Also consider taking a vitamin D supplement.,"Regardless of the poor air quality, apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.",Before going outside apply broad-spectrum sunscreen (minimum SPF 30) to your face. Also consider taking a vitamin D supplement.,"Regardless of the poor air quality, apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.",Before going outside apply broad-spectrum sunscreen (minimum SPF 30) to your face. Also consider taking a vitamin D supplement.,"Regardless of the poor air quality, apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.",Before going outside apply broad-spectrum sunscreen (minimum SPF 30) to your face. Also consider taking a vitamin D supplement.
Sand,The air quality may decrease visibility and cause breathing problems. Try to stay indoors today.,The air quality is poor. To protect your health consider taking a vitamin D supplement.,The air quality may decrease visibility and cause breathing problems. Try to stay indoors today.,The air quality is poor. To protect your health consider taking a vitamin D supplement.,"Regardless of the poor air quality, apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.",Before going outside apply broad-spectrum sunscreen (minimum SPF 30) to your face. Also consider taking a vitamin D supplement.,"Regardless of the poor air quality, apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.",Before going outside apply broad-spectrum sunscreen (minimum SPF 30) to your face. Also consider taking a vitamin D supplement.,"Regardless of the poor air quality, apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.",Before going outside apply broad-spectrum sunscreen (minimum SPF 30) to your face. Also consider taking a vitamin D supplement.,"Regardless of the poor air quality, apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.",Before going outside apply broad-spectrum sunscreen (minimum SPF 30) to your face. Also consider taking a vitamin D supplement.
Haze,The haze today may decrease visibility - be careful if going outside.,"Due to this hazy weather, to protect your health consider taking a vitamin D supplement.",The haze may decrease visibility - be careful if going outside.,"Due to this hazy weather, to protect your health consider taking a vitamin D supplement.","Regardless of the haze, you still need to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Regardless of the haze, make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face and consider taking a vitamin D supplement.","Regardless of the haze, you still need to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Regardless of the haze, make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face and consider taking a vitamin D supplement.","Regardless of the haze, you still need to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Regardless of the haze, make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face and consider taking a vitamin D supplement.","Regardless of the haze, you still need to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Regardless of the haze, make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face and consider taking a vitamin D supplement."
Spray,The weather may decrease visibility and create slippery conditions - be careful if going outside.,To optimize your health today consider taking a vitamin D supplement.,The weather may decrease visibility and create slippery conditions - be careful if going outside.,To optimize your health today consider taking a vitamin D supplement.,"To optimize your health today, apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","To optimize your health, consider taking a vitamin D supplement and make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face.","To optimize your health today, apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","To optimize your health, consider taking a vitamin D supplement and make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face.","To optimize your health today, apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","To optimize your health, consider taking a vitamin D supplement and make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face.","To optimize your health today, apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","To optimize your health, consider taking a vitamin D supplement and make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face."
DustWhirls,The air quality may decrease visibility and cause breathing problems. Try to stay indoors today.,The air quality is poor. To protect your health consider taking a vitamin D supplement.,The air quality may decrease visibility and cause breathing problems. Try to stay indoors today.,The air quality is poor. To protect your health consider taking a vitamin D supplement.,"Regardless of the poor air quality, apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.",Before going outside apply broad-spectrum sunscreen (minimum SPF 30) to all exposed skin. Also consider taking a vitamin D supplement.,"Regardless of the poor air quality, apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.",Before going outside apply broad-spectrum sunscreen (minimum SPF 30) to all exposed skin. Also consider taking a vitamin D supplement.,"Regardless of the poor air quality, apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.",Before going outside apply broad-spectrum sunscreen (minimum SPF 30) to all exposed skin. Also consider taking a vitamin D supplement.,"Regardless of the poor air quality, apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.",Before going outside apply broad-spectrum sunscreen (minimum SPF 30) to all exposed skin. Also consider taking a vitamin D supplement.
Sandstorm,The sandstorm may decrease visibility and cause breathing problems. Try to stay indoors today.,The air quality is poor. To protect your health consider taking a vitamin D supplement.,The air quality may decrease visibility and cause breathing problems. Try to stay indoors today.,The air quality is poor. To protect your health consider taking a vitamin D supplement.,"Regardless of the sandstorms, apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","To protect your health, apply broad-spectrum sunscreen (minimum SPF 30) to all exposed skin & also consider taking a vitamin D supplement.","Regardless of the sandstorms, apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","To protect your health, apply broad-spectrum sunscreen (minimum SPF 30) to all exposed skin & also consider taking a vitamin D supplement.","Regardless of the sandstorms, apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","To protect your health, apply broad-spectrum sunscreen (minimum SPF 30) to all exposed skin & also consider taking a vitamin D supplement.","Regardless of the sandstorms, apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","To protect your health, apply broad-spectrum sunscreen (minimum SPF 30) to all exposed skin & also consider taking a vitamin D supplement."
LowDriftingSnow,"It's snowy and slippery outside. If you have to go outside, drive carefully and stay warm.",Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during this snowy weather.,"It's snowy and slippery outside. If you have to go outside, drive carefully and stay warm.",Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during this snowy weather.,"Even though it is snowy, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is snowy, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is snowy, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is snowy, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is snowy, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is snowy, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is snowy, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is snowy, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement."
LowDriftingWidespreadDust,The air quality may decrease visibility and cause breathing problems. Try to stay indoors today.,The air quality is poor. To protect your health consider taking a vitamin D supplement.,The air quality may decrease visibility and cause breathing problems. Try to stay indoors today.,The air quality is poor. To protect your health consider taking a vitamin D supplement.,"Regardless of the poor air quality, apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.",Before going outside apply broad-spectrum sunscreen (minimum SPF 30) to all exposed skin. Also consider taking a vitamin D supplement.,"Regardless of the poor air quality, apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.",Before going outside apply broad-spectrum sunscreen (minimum SPF 30) to all exposed skin. Also consider taking a vitamin D supplement.,"Regardless of the poor air quality, apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.",Before going outside apply broad-spectrum sunscreen (minimum SPF 30) to all exposed skin. Also consider taking a vitamin D supplement.,"Regardless of the poor air quality, apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.",Before going outside apply broad-spectrum sunscreen (minimum SPF 30) to all exposed skin. Also consider taking a vitamin D supplement.
LowDriftingSand,The drifting sand may decrease visibility and cause breathing problems. Try to stay indoors today.,"To protect your health today, consider taking a vitamin D supplement.",The drifting sand may decrease visibility and cause breathing problems. Try to stay indoors today.,"To protect your health today, consider taking a vitamin D supplement.","To protect your health today, apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","To protect your health, apply broad-spectrum sunscreen (minimum SPF 30) to all exposed skin & also consider taking a vitamin D supplement.","To protect your health today, apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","To protect your health, apply broad-spectrum sunscreen (minimum SPF 30) to all exposed skin & also consider taking a vitamin D supplement.","To protect your health today, apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","To protect your health, apply broad-spectrum sunscreen (minimum SPF 30) to all exposed skin & also consider taking a vitamin D supplement.","To protect your health today, apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","To protect your health, apply broad-spectrum sunscreen (minimum SPF 30) to all exposed skin & also consider taking a vitamin D supplement."
BlowingSnow,"It's a snow day! If you have to go outside, drive carefully and stay warm.",Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during this snowy weather.,"It's a snow day! If you have to go outside, drive carefully and stay warm.",Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during this snowy weather.,"Even though it is snowy, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is snowy, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is snowy, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is snowy, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is snowy, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is snowy, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement.","Even though it is snowy, if you go outside make sure to apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Even though it is snowy, apply broad-spectrum sunscreen (at least SPF 30) to your face and consider taking a vitamin D supplement."
BlowingWidespreadDust,The air quality may decrease visibility and cause breathing problems. Try to stay indoors today.,The air quality is poor. To protect your health consider taking a vitamin D supplement.,The air quality may decrease visibility and cause breathing problems. Try to stay indoors today.,The air quality is poor. To protect your health consider taking a vitamin D supplement.,"Regardless of the poor air quality, apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.",Before going outside apply broad-spectrum sunscreen (minimum SPF 30) to all exposed skin. Also consider taking a vitamin D supplement.,"Regardless of the poor air quality, apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.",Before going outside apply broad-spectrum sunscreen (minimum SPF 30) to all exposed skin. Also consider taking a vitamin D supplement.,"Regardless of the poor air quality, apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.",Before going outside apply broad-spectrum sunscreen (minimum SPF 30) to all exposed skin. Also consider taking a vitamin D supplement.,"Regardless of the poor air quality, apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.",Before going outside apply broad-spectrum sunscreen (minimum SPF 30) to all exposed skin. Also consider taking a vitamin D supplement.
BlowingSand,The air quality may decrease visibility and cause breathing problems. Try to stay indoors today.,Consider taking a vitamin D supplement - it will help optimize your genes and protect your health today.,The air quality may decrease visibility and cause breathing problems. Try to stay indoors today.,Consider taking a vitamin D supplement - it will help optimize your genes and protect your health today.,"To optimize your health today, apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Consider taking a vitamin D supplement. Before going outside, apply broad-spectrum sunscreen (minimum SPF 30) to your face & neck.","To optimize your health today, apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Consider taking a vitamin D supplement. Before going outside, apply broad-spectrum sunscreen (minimum SPF 30) to your face & neck.","To optimize your health today, apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Consider taking a vitamin D supplement. Before going outside, apply broad-spectrum sunscreen (minimum SPF 30) to your face & neck.","To optimize your health today, apply broad-spectrum sunscreen (minimum SPF 30) to your face, neck & exposed skin.","Consider taking a vitamin D supplement. Before going outside, apply broad-spectrum sunscreen (minimum SPF 30) to your face & neck."
RainMist,The wet weather may make it very slippery outside. Watch out when walking outside or driving.,A vitamin D supplement is likely to help optimize your genes and protect your health during this wet weather.,The wet weather may make it very slippery outside. Watch out when walking outside or driving.,A vitamin D supplement is likely to help optimize your genes and protect your health during this wet weather.,"Even though the sun may not seem strong today, make sure to apply a broad-spectrum sunscreen with a minimum SPF 30 before going outside.","To protect your health during this wet weather, consider taking a vitamin D supplement.","Even though the sun may not seem strong today, make sure to apply a broad-spectrum sunscreen with a minimum SPF 30 before going outside.","Even though it's rainy today, apply a broad-spectrum sunscreen (minimum SPF 30) before going outside & consider taking a vitamin D supplement.","Even though the sun may not seem strong today, make sure to apply a broad-spectrum sunscreen with a minimum SPF 30 before going outside.","Even though it's rainy today, apply a broad-spectrum sunscreen (minimum SPF 30) before going outside & consider taking a vitamin D supplement.","Even though the sun may not seem strong today, make sure to apply a broad-spectrum sunscreen with a minimum SPF 30 before going outside.","Even though it's rainy today, apply a broad-spectrum sunscreen (minimum SPF 30) before going outside & consider taking a vitamin D supplement."
RainShowers,It's raining cats and dogs but fortunately you and your genes are safe.,Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during gloomy weather.,It's raining cats and dogs but fortunately you and your genes are safe.,Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during gloomy weather.,It's raining cats and dogs but fortunately you and your genes are safe.,Consider taking a vitamin D supplement - it will help optimize your genes and protect your health during gloomy weather.,"Even though the sun may not seem strong today, make sure to apply a broad-spectrum sunscreen with a minimum SPF 30 before going outside.","Consider taking a vitamin D supplement. And even though it's raining, apply a broad-spectrum sunscreen (minimum SPF 30) before going outside.","Even though the sun may not seem strong today, make sure to apply a broad-spectrum sunscreen with a minimum SPF 30 before going outside.","Consider taking a vitamin D supplement. And even though it's raining, apply a broad-spectrum sunscreen (minimum SPF 30) before going outside.","Even though the sun may not seem strong today, make sure to apply a broad-spectrum sunscreen with a minimum SPF 30 before going outside.","Consider taking a vitamin D supplement. And even though it's raining, apply a broad-spectrum sunscreen (minimum SPF 30) before going outside."
